"Rajya	DISTRICT	BRANCH	ADDRESS	CENTRE	IFSC	CONTACT1	CONTACT2	CONTACT3	MICR_CODE",,,,,,,,,
"ANDHRA PRADESH	HYDERABAD	HYDERABAD  SOMAJI GUDA	""P.O.BOX NO. 1501",  SOMAJI  GODA,"  HYDERABAD - 500482""	HYDERABAD	SBBJ0010625	""R H TALWAR"," 040-23310205""			",,,,,,
"ANDHRA PRADESH	HYDERABAD	KUKATPALLY	""PLOT NO.31 &32    9TH PHASE",  GOKUL X ROAD, KPHB COLONY,  KUKATPALLY," HYDERBAD-500085""	HYDERABAD	SBBJ0011241	4027702842	sbbj11241@sbbj.co.in		500003005",,,,,
"ANDHRA PRADESH	HYDERABAD	SECUNDERABAD  R P ROAD	""8573",  RASHTRAPATI  ROAD,"  SECUNDERABAD - 500003""	SECUNDERABAD CANTONMENT	SBBJ0010418	""P K DAS","  040-27540399""			",,,,,,
"ANDHRA PRADESH	HYDERABAD	SECUNDERABAD SHIVAJI NAGAR	""SHIVAJI  NAGAR","  SECUNDERABAD - 500003""	SECUNDERABAD CANTONMENT	SBBJ0010642	""D SRIDHAR"," 040-27702842""			",,,,,,,
"ANDHRA PRADESH	KRISHNA	VIJAYAWADA	""45-1-3/3",45-1-3/2, AB TWINS APARTMENT, GUNADALA," VIJAYAWADA""	VIJAYAWADA	SBBJ0011180	9703460382			520003001",,,,,
"ANDHRA PRADESH	VISHAKHAPATNAM	VISHAKHAPATTANAM	""PANDURANGPURAM",  PLOT  NO - 44,"  VISHAKHAPATNAM - 530003""	VISAKHAPATNAM	SBBJ0010716	""B G RAO","  0891-2562971""	0891-2556138		",,,,,,
"ASSAM	KAMRUP METROPOLITAN	GUWAHATI	""FANCY BAZAR"," GUWAHATI-781001""	GUWAHATI	SBBJ0010001	""MAHIPATI DATTA","  0361-2546110""			",,,,,,,
"BIHAR	AURANGABAD	""Surar","  Nabinagar Block""	""First Floor", Vill : Surar,PO:Pirauta, Opposite NTPC Power Plant, PS : NTPC Khaira, Nabinagar, Aurangabad, Bihar," Pin-824303""	AURANGABAD	SBBJ0011225	06332-9631626469	sbbj11225@sbbj.co.in		824003501"
"BIHAR	BHAGALPUR	BHAGALPUR	""JAISWAL TOWER", RAIBAHADUR SHIV SHANKAR SAHAI ROAD, BHIKHANPUR, BHAGALPUR," BIHAR - 812001""	BHAGALPUR	SBBJ0011414	0641 9631626469			812003002",,,,,
"BIHAR	BHOJPUR	BIHTA(DIST-PATNA)	""BIHTA MAIN ROAD",OPPOSITE OLD BANDH OFFICE,POST-BIHTA,DIST.-PATNA,"BIHAR-""	BIHTA	SBBJ0011088		06115-252209/ 09771457887		800 003 501",,,,,
"BIHAR	BUXAR	BUXAR	""Plot  No.112 & 113 ",Opposite Panchmukhi Mahavir Temple,Main Road,Buxar,"Bihar-802101""	BUXAR	SBBJ0011122	9162355768			802003002",,,,,
"BIHAR	GAYA	GAYA	""45",  SAWRAJ  PURI,  NEAR  BHRATSEVA,"  GAYA - 781001""	GAYA	SBBJ0010658	""0631-2420665"," 2220211""			",,,,,
"BIHAR	MUZAFFARPUR	KAFEN CHOUDHARY(DIST-MUZAFFARPUR)	""DELHI PUBLIC SCHOOL CAMPUS",KAFEN ROAD,GARHAN,POST-SANATHI,THANA-BOCHAHA,DIST-MUZAFFARPUR,"BIHAR-843103""	BOCHAHA	SBBJ0011087		0621-2901151/09334086975		842 003 501",,,
"BIHAR	MUZAFFARPUR	MUZAFFARPUR	""AKHARA  GHAT  ROAD","  MUZAFFARPUR - 842001""	MUZAFFARPUR	SBBJ0010656	0621-2214765			",,,,,,,,
"BIHAR	PATNA	P C COLONY KANKARBAGH	""G 122", P.C. COLONY, PO - LOHIA NAGAR, KANKARBAGH, PATNA," BIHAR - 800020""	PATNA	SBBJ0011324	06332 7544003390			800003007",,,,
"BIHAR	PATNA	PATNA  FRAZER ROAD	""HARSHWARDHAN",  LOK  NAYAK  BHAWAN,"  PATNA - 800001""	PATNA	SBBJ0010790	""ALOK KUMAR SINHA"," 0612-2231812""			",,,,,,
"BIHAR	PATNA	PATNA CITY  (MARUFGANJ)	""MARUFGANJ","  PATNA - 800008""	PATNA	SBBJ0010662	0612-2617808			",,,,,,,,
"BIHAR	PATNA	""PATNA"," ASHOK  RAJPATH""	""ASHOK  RAJPATH","  PATNA - 800004""	PATNA	SBBJ0010002	""0612-267334"," 2671797""			",,,,,,
"BIHAR	PATNA	""PATNA"," R BLOCK""	""CHANAKYA  PALACE","  PATNA - 800001""	PATNA	SBBJ0010501	0612-2223127			",,,,,,,
"BIHAR	PATNA	""Saguna More",  Danapur,"  Patna""	""Plot No- 102", Chandra Complex, Near Bank of Baroda, Saguna More, Danapur, Patna," Pin 801503""	PATNA	SBBJ0011242	-9471003539			",
"BIHAR	ROHTAS	Dehri on Sone	""Station Road", Near Mohan Bigha Lane, Dehri, PO - Dalmiyanagar, Distt. Rohtas, Bihar," Pin - 821305""	DEHRI-ON-SONE	SBBJ0011164	-7631050666			",,,
"BIHAR	SITAMARHI	SITAMARHI	""Sheela Mansion",,Near BSNL Telephone Exchange,Sahu Chowk,Dumra Road, Rajopatti,Sitamarhi,"Bihar-803302""	SITAMARHI	SBBJ0011141	9771404868			843003002",,
"CHANDIGARH	CHANDIGARH	CHANDIGARH	""S.C.F.NO.5", SECTOR-17-D," CHANDIGARH-160017""	CHANDIGARH	SBBJ0010319	""RESHAM LAL"," 0172-2702068""	0172-2710972		",,,,,,
"CHANDIGARH	CHANDIGARH	""SECTOR 49 A"," CHANDIGARH""	""Booth No. 7", Sector 49A," Chandigarh""	CHANDIGARH	SBBJ0011285	1722674042		1722674842	160003006",,,,,,
"DELHI	DELHI	Amar Colony	Lajpat Nagar 194 Ramesh Mkt.. Garhi East of Kailsh)	DELHI	SBBJ0010630	New Delhi	""P. K. Mohanty (Tel. 011-26441190"," Fax 011-26424588)""		",,,,,,,,
"DELHI	DELHI	Bara Khamba Road	""27"," Bara Khamba Road""	DELHI	SBBJ0010390	New Delhi	""S. S. Biswas (Tel. 011-23312785"," Fax 011-23313635)""		",,,,,,,
"DELHI	DELHI	Chandni Chowk	Outside Katra Neel	DELHI	SBBJ0010013	New Delhi	""A. K. Mundra (Tel. 011-23975182"," Fax 011- 23975504)""		",,,,,,,,
"DELHI	DELHI	Connaught Circus	""G-72"," Connaught Circus""	DELHI	SBBJ0010016	New Delhi	""L. N. Gupta (Tel. 011-23712083"," Fax 011-23712081)""		",,,,,,,
"DELHI	DELHI	""DELHI"," BADLI""	""A-2",SURAJ PARK, INDUSTRIAL AREA BHAWAN ROAD," NEW DELHI""	DELHI	SBBJ0010743	""D K KALRA","TEL-011-27855295""			",,,,
"DELHI	DELHI	""DELHI"," LAWRANCE ROAD""	""5",COMMUNITY CENTRE,LAWRANCE ROAD,"INDUSTRIAL AREA 110035""	DELHI	SBBJ0010355	""S K SHABHARWAL","TEL-011-27183089""			",,,,
"DELHI	DELHI	""DELHI"," VIVEK VIHAR""	""D-10","D-BLOCK SHOPPING CENTRE VIVEK VIHAR DELHI""	DELHI	SBBJ0010502	""MAHESH SHARMA","TEL-011-22151364""			",,,,,,
"DELHI	DELHI	""DERAWAL NAGAR"," NEW DELHI""	""A-330", Derawal Nagar," New Delhi""	DELHI	SBBJ0011284	9968603371			110003045",,,,,,
"DELHI	DELHI	DWARKA	""State Bank of Bikaner & Jaipur", Property No. 4, Block A, Sector-23, Dwarka," New Delhi-110075""	PALAM	SBBJ0011182	011-28053788			110003039",,,,
